datetime,Latitude,Longitude,Depth,Magnitude
2011-04-15 02:06:28,-15.281,-173.238,17.0,5.8
2011-04-15 21:46:23,-18.691,-175.363,216.3,5.7
2011-04-16 01:11:10,25.435,123.897,131.0,5.7
2011-04-16 02:19:31,36.378,139.653,77.0,5.8
2011-04-16 20:36:46,36.878,143.917,15.1,5.5
2011-04-17 01:58:49,-27.596,-63.201,556.7,5.7
2011-04-18 13:03:03,-34.336,179.874,86.0,6.6
2011-04-21 00:39:03,40.341,143.549,10.0,5.7
2011-04-21 01:54:42,40.306,143.628,11.0,5.8
2011-04-21 13:37:03,35.579,140.305,43.0,6.2
2011-04-21 16:11:18,37.553,141.219,55.6,5.6
2011-04-22 05:12:48,-37.905,-73.903,19.2,5.6
2011-04-22 17:14:51,-22.805,-174.592,22.3,5.5
2011-04-23 04:16:55,-10.375,161.2,79.0,6.8
2011-04-23 10:12:47,39.097,142.87,31.0,5.9
2011-04-24 21:09:33,-35.704,-16.994,10.0,5.6
2011-04-24 22:44:16,-35.42,-16.958,10.0,5.6
2011-04-24 23:07:51,-4.586,122.771,8.0,6.1
2011-04-26 06:39:37,-8.081,108.477,95.4,5.6
2011-04-26 10:43:08,-13.384,-111.298,10.0,5.5
2011-04-26 11:07:27,16.851,-99.471,11.0,5.5
2011-04-28 07:42:35,-9.973,160.492,11.0,5.7
2011-04-28 09:27:47,37.455,141.653,38.0,5.5
2011-04-28 13:07:44,10.129,-103.614,10.0,5.8
2011-04-30 05:45:35,-3.262,148.625,8.0,5.7
2011-04-30 08:19:17,6.854,-82.33,12.0,6.1
2011-05-01 16:12:41,-6.947,155.86,46.0,5.8
2011-05-02 13:20:57,-15.483,-174.343,10.0,5.5
2011-05-04 16:13:29,-20.396,-178.548,583.6,5.5
2011-05-04 17:38:38,-4.893,101.848,26.0,5.6
2011-05-05 13:24:08,16.784,-98.618,24.0,5.7
2011-05-05 14:13:02,55.094,-160.538,39.0,5.7
2011-05-05 14:58:19,38.17,144.032,11.0,6.0
2011-05-05 16:15:25,-25.192,-177.552,184.7,5.6
2011-05-05 16:57:37,55.019,-160.688,36.0,5.8
2011-05-05 23:21:22,26.124,128.398,10.0,5.5
2011-05-06 06:46:23,-0.065,122.948,82.0,5.5
2011-05-07 20:52:21,40.239,142.243,35.0,5.7
2011-05-09 18:54:44,-56.65,147.411,9.0,5.9
2011-05-09 19:13:26,5.343,126.415,28.8,5.7
2011-05-09 20:15:54,37.739,143.536,11.0,5.6
2011-05-10 08:55:09,-20.244,168.226,11.0,6.8
2011-05-10 10:24:17,-20.272,168.397,10.0,5.9
2011-05-10 10:44:07,-20.311,168.451,10.0,5.5
2011-05-10 15:05:22,-4.742,-105.594,10.0,5.5
2011-05-10 15:26:05,43.292,130.938,544.6,5.7
2011-05-10 16:45:45,-4.702,-105.515,10.0,5.5
2011-05-11 08:19:33,-20.298,168.349,10.0,5.6
2011-05-13 01:04:37,12.434,143.987,5.8,5.5
2011-05-13 03:36:50,-59.438,-151.353,10.0,5.7
2011-05-13 22:47:54,9.954,-84.313,72.8,5.9
2011-05-13 23:35:53,37.396,141.341,35.0,6.1
2011-05-14 21:07:22,36.409,70.748,207.3,5.9
2011-05-15 13:08:13,0.569,-25.647,10.0,6.1
2011-05-15 18:37:10,-6.104,154.414,40.0,6.4
2011-05-15 23:25:06,-6.861,155.061,35.0,5.5
2011-05-17 00:14:58,-9.203,112.585,28.0,5.7
2011-05-17 10:35:27,-15.645,-175.221,10.0,5.7
2011-05-18 17:42:36,55.521,163.846,14.2,5.5
2011-05-18 18:51:27,-6.628,147.893,52.9,5.5
2011-05-19 20:15:23,39.149,29.103,7.0,5.8
2011-05-20 00:46:17,35.761,140.843,29.0,5.8
2011-05-20 19:43:16,-7.192,146.909,7.0,5.7
2011-05-21 00:16:26,-56.074,-27.11,48.0,5.9
2011-05-21 21:17:02,-30.822,-178.17,34.0,5.9
2011-05-21 22:06:26,35.597,140.492,37.0,5.6
2011-05-22 14:46:12,37.601,143.488,28.6,5.6
2011-05-22 16:42:24,13.595,120.754,148.6,5.7
2011-05-24 03:40:51,39.709,143.247,16.0,5.8
2011-05-24 17:43:24,52.596,-173.256,137.6,5.5
2011-05-28 17:07:41,-5.704,103.493,32.0,5.7
2011-05-28 18:35:53,-27.466,-178.531,307.4,5.5
2011-05-28 18:37:34,-27.261,-178.523,306.6,5.5
2011-05-29 18:24:01,-7.715,101.757,13.0,5.9
2011-06-01 12:55:22,-37.578,-73.691,21.0,6.3
2011-06-03 00:05:01,37.285,143.907,14.0,6.1
2011-06-03 07:27:12,9.635,92.459,45.0,5.5
2011-06-03 16:00:15,37.067,140.912,17.0,5.5
2011-06-05 11:51:12,-55.843,146.62,3.0,6.4
2011-06-05 16:35:04,-15.115,-177.886,12.6,5.9
2011-06-07 05:18:32,-44.176,-16.039,10.0,5.6
2011-06-08 03:06:23,-17.083,-69.518,145.7,5.9
2011-06-08 15:40:15,-4.571,149.936,511.4,5.5
2011-06-09 20:16:28,-30.42,-178.055,30.7,5.6
2011-06-12 20:32:40,13.414,41.735,10.0,5.6
2011-06-13 02:20:49,-43.564,172.743,6.1,5.9
2011-06-13 14:31:23,2.515,126.457,61.1,6.3
2011-06-14 00:08:32,1.831,99.225,17.0,5.5
2011-06-14 03:01:30,1.844,99.109,22.0,5.6
2011-06-14 13:06:52,37.727,143.512,14.0,5.7
2011-06-15 01:05:31,27.784,57.766,34.0,5.5
2011-06-16 00:03:36,-5.928,151.04,16.0,6.4
2011-06-17 09:16:13,13.303,41.732,10.0,5.6
2011-06-18 11:31:06,37.664,141.664,20.0,5.7
2011-06-18 17:30:20,14.021,-91.64,32.0,5.5
2011-06-19 00:20:04,-5.963,-80.976,10.0,5.5
2011-06-19 11:05:30,-54.889,-129.493,10.0,5.5
2011-06-20 16:36:01,-21.701,-68.228,128.0,6.4
2011-06-20 18:13:21,-13.287,167.214,207.1,5.7
2011-06-21 02:04:16,-11.479,165.551,14.0,6.0
2011-06-22 14:28:59,40.046,142.777,42.7,5.7
2011-06-22 21:50:52,39.955,142.205,33.0,6.7
2011-06-24 03:09:39,52.05,-171.836,52.0,7.3
2011-06-24 06:33:08,-10.925,165.931,72.1,6.1
2011-06-24 17:39:27,42.049,142.553,58.1,5.5
2011-06-25 21:16:55,-24.512,179.37,527.9,5.6
2011-06-26 09:19:48,18.863,146.279,99.4,5.5
2011-06-26 12:16:39,-2.384,136.631,17.0,6.3
2011-06-26 12:19:17,-2.412,136.657,18.8,5.6
2011-06-27 00:30:30,-17.112,-173.692,35.0,5.5
2011-06-27 16:47:14,-8.926,122.471,119.7,5.5
2011-06-27 23:27:33,52.003,-171.762,29.0,5.8
2011-06-28 06:48:33,52.087,-171.702,30.0,5.8
2011-06-29 05:36:46,-33.906,-72.341,19.7,5.5
2011-06-30 04:30:54,-23.483,-175.913,35.0,5.6
2011-06-30 09:09:18,-23.535,-175.849,35.0,5.7
2011-06-30 09:47:09,-23.566,-175.884,35.0,5.5
2011-07-01 13:18:48,13.091,146.577,22.0,5.6
2011-07-01 16:25:49,-6.626,147.85,35.0,5.6
2011-07-03 06:34:37,12.326,-87.62,36.0,5.7
2011-07-05 03:36:25,-38.674,175.75,152.3,5.5
2011-07-05 19:02:39,-14.811,-176.025,24.8,5.7
2011-07-06 15:14:59,36.372,141.618,10.0,5.7
2011-07-06 19:03:18,-29.539,-176.34,17.0,7.6
2011-07-06 20:35:39,-29.565,-176.249,10.0,5.6
2011-07-07 04:40:15,-29.889,-176.338,12.0,5.5
2011-07-07 09:10:50,-28.978,-176.711,10.0,5.7
2011-07-07 09:30:00,-29.153,-176.942,30.8,5.8
2011-07-07 18:35:41,37.125,140.869,35.0,5.5
2011-07-08 05:53:04,0.961,-26.419,10.0,5.6
2011-07-09 05:51:39,-4.137,129.396,21.0,5.5
2011-07-09 06:53:47,-21.206,-174.538,16.0,5.9
2011-07-09 07:08:19,-21.16,-174.638,10.0,5.6
